accuracy,f1_weighted,precision_weighted,h
0.7916666666666666,0.768384059021213,0.8069031491907107,1
0.8035714285714286,0.7837607884777695,0.797082572866545,1
0.8154761904761905,0.7908303485733015,0.8877953988128494,1
0.8095238095238095,0.7826490187009021,0.8343674978678989,1
0.7976190476190477,0.7651326359017445,0.8102269879243563,1
0.8095238095238095,0.7820688460569413,0.8480481423338566,1
0.7440476190476191,0.7002134321742165,0.7267316017316018,1
0.7738095238095238,0.7409735066185424,0.7671499519797532,1
0.7440476190476191,0.7065692303988562,0.8016144349477683,1
0.7619047619047619,0.7401650582713705,0.7718248785736053,1
0.7857142857142857,0.7551138337234329,0.7837552328623758,1
0.7797619047619048,0.7491768337700828,0.8063817958745496,1
0.7440476190476191,0.7076272130724102,0.7269446905910589,1
0.7916666666666666,0.7638960289313143,0.7956463868117053,1
0.7857142857142857,0.7609607137169249,0.8247661914347314,1
0.8333333333333334,0.8093295401280036,0.8604073985410391,1
0.8154761904761905,0.7907612735968648,0.8230662393162395,1
0.7857142857142857,0.749990986367218,0.8348293256696618,1
0.8095238095238095,0.79018107663941,0.8165807755462928,1
0.8214285714285714,0.7949901430443302,0.8604034216103182,1
0.7916666666666666,0.771583757881262,0.7946016651647005,1
0.7916666666666666,0.7611828025363794,0.8224111646730695,1
0.8214285714285714,0.8014420427874265,0.8470216842777818,1
0.7678571428571429,0.7356773800000401,0.7722694649523918,1
0.7857142857142857,0.7574375204627305,0.8104402872260016,1
0.7916666666666666,0.7594729179550607,0.7908390022675736,1
0.7976190476190477,0.7699117935339165,0.8393024194156599,1
0.7797619047619048,0.7506228877952136,0.7877140963912446,1
0.7678571428571429,0.7305963406034248,0.7820890202044701,1
0.7797619047619048,0.746236809683995,0.7678396225194255,1
0.75,0.7143305247977396,0.7145434599196017,1
0.7738095238095238,0.7470425872128126,0.7851979671467249,1
0.7916666666666666,0.7627717323018699,0.8091855145995068,1
0.8035714285714286,0.7797668133690915,0.8049210327405816,1
0.7916666666666666,0.7581431932221028,0.8094279378418033,1
0.8095238095238095,0.7818359527719133,0.8275529529993816,1
0.7916666666666666,0.7670082412391405,0.8064615234533564,1
0.7857142857142857,0.7709076116887517,0.782028837175896,1
0.75,0.7096622975006847,0.7160091730294811,1
0.8273809523809523,0.8037824882652468,0.8743171511028655,1
0.7619047619047619,0.737672276044369,0.7867538256209631,1
0.7916666666666666,0.763215745355214,0.7920590609198028,1
0.8154761904761905,0.7919229304105415,0.8071879065105667,1
0.7916666666666666,0.775732541551333,0.7926832458129451,1
0.7976190476190477,0.7612712622830042,0.7842105263157894,1
0.7976190476190477,0.7732066506429325,0.8223507395382396,1
0.8154761904761905,0.7947669692225441,0.8474778547713948,1
0.8035714285714286,0.7737552203185077,0.7819192491811539,1
0.8095238095238095,0.7919852648347272,0.8466514191883648,1
