accuracy,f1_weighted,precision_weighted
0.6607142857142857,0.6567571607894188,0.7591503267973857
0.625,0.610665492163881,0.7277072716780859
0.6726190476190477,0.6619559406845805,0.7558199093163015
0.6607142857142857,0.645009268400625,0.7503398453398453
0.6369047619047619,0.6318027018039609,0.7322614734299516
0.6011904761904762,0.5879555694382238,0.7398313492063492
0.5714285714285714,0.5569502353371935,0.7074100972127289
0.6071428571428571,0.6088746451060212,0.6821894771894772
0.5952380952380952,0.6122854701435433,0.7248950496511686
0.6607142857142857,0.6742417419751551,0.7851419413919414
0.6309523809523809,0.6285540474863462,0.7331025592055005
0.625,0.6137481776464115,0.7338399069305142
0.6071428571428571,0.6122983828979587,0.7126900355283814
0.6488095238095238,0.6447310193670033,0.7483185827522499
0.6488095238095238,0.6523827421736176,0.7616584564860427
0.6428571428571429,0.6435469358683644,0.7404728452406144
0.6190476190476191,0.6174999410607815,0.7166165624498957
0.6130952380952381,0.603106146239037,0.7144338504632622
0.6607142857142857,0.6621567644432821,0.7568581463460171
0.6488095238095238,0.6476393290173713,0.7437829404540537
0.6547619047619048,0.6397944027577943,0.7426169392488179
0.6309523809523809,0.612879796976665,0.73377475613467
0.6547619047619048,0.6607774909994997,0.7574484769277168
0.6607142857142857,0.6663062251820667,0.7768392517570148
0.6130952380952381,0.6172503438336223,0.7322751322751323
0.6369047619047619,0.6417568781550544,0.7271697388632872
0.6130952380952381,0.6145595342322203,0.7266769586622528
0.6071428571428571,0.6069182961646197,0.7349387370892748
0.6190476190476191,0.6080385236610967,0.729245283018868
0.6011904761904762,0.594709122669799,0.6998608534322821
0.6369047619047619,0.6340238827015598,0.7421296296296296
0.5833333333333334,0.583424690434425,0.709584074014221
0.7023809523809523,0.6931943793694946,0.7903383458646616
0.6666666666666666,0.6687641538699067,0.769025974025974
0.5892857142857143,0.5645600720918564,0.7676406926406927
0.5952380952380952,0.6040241531774315,0.6874057990993475
0.6488095238095238,0.6489624612602534,0.7570193171608266
0.625,0.6350066594579494,0.7282222737579881
0.6011904761904762,0.6106352174550095,0.7018803622813647
0.6607142857142857,0.656480646473925,0.7424524097078444
0.6071428571428571,0.6284960461565061,0.7312494865927361
0.6369047619047619,0.6311153497485014,0.7360450858665144
0.6309523809523809,0.6294117068640978,0.7448816064887493
0.6309523809523809,0.6294174862186596,0.7385264303557516
0.6071428571428571,0.5917120047391584,0.7165646430986188
0.6428571428571429,0.6388667662939478,0.7405637126031863
0.5952380952380952,0.576783435158733,0.686009750250088
0.6309523809523809,0.6257398344781496,0.7216788240495137
0.625,0.6229430950960447,0.7291044920383611
0.6666666666666666,0.6777361348318406,0.7731690592903827
0.6607142857142857,0.651060764971073,0.7537122930131572
0.6011904761904762,0.5856131191665122,0.7131368711725855
0.6071428571428571,0.6052594542766816,0.7190331251980526
0.6190476190476191,0.6182849424109368,0.7167690642690643
0.6547619047619048,0.6472020163773754,0.7199097491202755
0.6428571428571429,0.62763061195997,0.7420513979422025
0.6011904761904762,0.6121420520005426,0.723733607662179
0.6369047619047619,0.6389934538641435,0.773505462791177
0.6845238095238095,0.6783138915216815,0.7779098181715751
0.6130952380952381,0.6255660373644208,0.7260421003987181
0.5833333333333334,0.5693183485583668,0.6855780274147621
0.6726190476190477,0.6700845556291134,0.7546061697586088
0.6190476190476191,0.6107719934800686,0.75161435982819
0.6369047619047619,0.6274268171694547,0.7343216307502021
0.6011904761904762,0.5904637103823605,0.6878367834589032
0.625,0.6295576344572916,0.7368122948480091
0.6488095238095238,0.6498511054701729,0.7302864707756013
0.6726190476190477,0.669388572736787,0.7550502833126946
0.6130952380952381,0.5870645159438262,0.6853408029878618
0.6071428571428571,0.615541894860031,0.7345645024927263
0.6369047619047619,0.6435077936190698,0.7141703189839836
0.6190476190476191,0.6057818864222805,0.7228304783451843
0.5952380952380952,0.589188174493351,0.7103505291005291
0.5833333333333334,0.5741731665052899,0.6996938775510204
0.5654761904761905,0.5741058902720882,0.6922667526178421
0.6428571428571429,0.6342891411982333,0.7379712301587302
0.6071428571428571,0.6037179312264737,0.7073825636728863
0.7083333333333334,0.7021055351566643,0.7884237028144592
0.6369047619047619,0.6239131302993417,0.7433189033189034
0.6190476190476191,0.6083647980495025,0.7246547289998346
0.6309523809523809,0.6339585713803594,0.7592643467643467
0.5773809523809523,0.5721572003343462,0.6675182423396709
0.6845238095238095,0.680693312791057,0.7834179754851249
0.6369047619047619,0.6342566347244956,0.7248269997654235
0.6488095238095238,0.6426663821280194,0.7523567119155354
0.625,0.6367133288923216,0.7616499429960664
0.6071428571428571,0.6099440596336504,0.7246860282574569
0.6071428571428571,0.6150636583057828,0.7199672351458065
0.5714285714285714,0.5650631175153583,0.7219780553569509
0.6607142857142857,0.6587938269317377,0.7677799823633158
0.6547619047619048,0.6576071773130595,0.7430941607412196
0.6071428571428571,0.6233517787393879,0.7384061151342257
0.5595238095238095,0.5569400968407413,0.7056161625489357
