accuracy,f1_weighted,precision_weighted,k
0.9047619047619048,0.905551967240797,0.9078428093645485,1
0.8928571428571429,0.8935836027389579,0.8953573432740098,1
0.9404761904761905,0.940122715683291,0.9457807135393342,1
0.8988095238095238,0.8996073099959337,0.9018282312925171,1
0.8452380952380952,0.844748038544174,0.8471909598721193,1
0.9166666666666666,0.9163465312296938,0.9181295093795092,1
0.8452380952380952,0.8413065534596234,0.8515434218559218,1
0.875,0.8739420652197054,0.8773227347365278,1
0.8928571428571429,0.8907593034046053,0.9003140682796416,1
0.8571428571428571,0.858148561687424,0.8636727688787185,1
0.875,0.8741859655464547,0.8790283790283789,1
0.9345238095238095,0.9338873501699951,0.9358666928309786,1
0.8690476190476191,0.8687121802599723,0.8692090548340549,1
0.9345238095238095,0.9341261998870695,0.9355128997986141,1
0.8869047619047619,0.8864604673345191,0.8864330596939293,1
0.8988095238095238,0.8997125187369089,0.9062009419152277,1
0.8809523809523809,0.878274411055566,0.8781262292775451,1
0.8452380952380952,0.8475977304008517,0.8546201814058957,1
0.8869047619047619,0.8863473483038701,0.8879870129870129,1
0.8988095238095238,0.898651524101704,0.9009211687783116,1
0.8988095238095238,0.8969354289121731,0.9018550841389187,1
0.8988095238095238,0.8981938410284747,0.9035371874502309,1
0.9166666666666666,0.91661187016718,0.9221867560751408,1
0.875,0.8755468786636571,0.8782795258571657,1
0.8571428571428571,0.856784682126819,0.8581403120688836,1
0.8988095238095238,0.8989361702127661,0.8992732056590752,1
0.8809523809523809,0.8786106210365388,0.8893619933915987,1
0.8511904761904762,0.8513529337572734,0.8546098298253471,1
0.8928571428571429,0.8876209738414642,0.9020458410636982,1
0.8869047619047619,0.8863375129019685,0.8892141480844897,1
0.8690476190476191,0.8694606445580045,0.8740039200565516,1
0.8988095238095238,0.8987436549711459,0.9020351805439524,1
0.9345238095238095,0.9342204210289318,0.9345681492420622,1
0.9226190476190477,0.9235844829650285,0.9256493506493506,1
0.8869047619047619,0.8875435947582857,0.8900763588263588,1
0.8869047619047619,0.8851862415836054,0.8871677374653564,1
0.9345238095238095,0.9342958113477948,0.9360449735449736,1
0.9226190476190477,0.9222489861745563,0.9225484039769756,1
0.8869047619047619,0.8851439931227164,0.888370506305289,1
0.8809523809523809,0.8787807535699947,0.8807312436468842,1
