,number,value,datetime_start,datetime_complete,duration,params_Tu,params_Tv,system_attrs_fail_reason,state
33,33,99431831.68621352,2022-01-14 10:23:40.175532,2022-01-14 10:23:41.399997,0 days 00:00:01.224465,57.111438846942264,6167743.433398858,,COMPLETE
34,34,16685301.793671759,2022-01-14 10:23:41.876071,2022-01-14 10:23:42.927297,0 days 00:00:01.051226,77.80686895099683,1033452.816410893,,COMPLETE
35,35,363082676.48448205,2022-01-14 10:23:43.330893,2022-01-14 10:23:45.170877,0 days 00:00:01.839984,50.44542756184156,22525356.30318105,,COMPLETE
36,36,201305179.08837968,2022-01-14 10:23:45.775414,2022-01-14 10:23:47.457476,0 days 00:00:01.682062,47.072339810713096,12488431.18899608,,COMPLETE
37,37,105015978.57983369,2022-01-14 10:23:47.976039,2022-01-14 10:23:49.050318,0 days 00:00:01.074279,63.73469394820889,6514027.540789102,,COMPLETE
38,38,1420359769.5264208,2022-01-14 10:23:50.064497,2022-01-14 10:23:52.732164,0 days 00:00:02.667667,35.58962089110677,88121391.13488902,,COMPLETE
39,39,516660.0125376632,2022-01-14 10:23:53.315207,2022-01-14 10:24:00.167547,0 days 00:00:06.852340,9.0474294484637,32001.63484825194,,COMPLETE
40,40,257286420.50288668,2022-01-14 10:24:01.754604,2022-01-14 10:24:08.464298,0 days 00:00:06.709694,10.239574928054276,15962507.943644285,,COMPLETE
41,41,84417252.9224386,2022-01-14 10:24:08.838671,2022-01-14 10:24:11.470725,0 days 00:00:02.632054,13.552642888211594,5237300.2401672155,,COMPLETE
42,42,5902531.739179296,2022-01-14 10:24:11.925946,2022-01-14 10:24:20.703563,0 days 00:00:08.777617,0.8892957352331372,366253.03544576996,,COMPLETE
43,43,157831711.16837397,2022-01-14 10:24:20.879369,2022-01-14 10:24:23.730755,0 days 00:00:02.851386,15.922476459003619,9792029.3059064,,COMPLETE
44,44,10795129.734688167,2022-01-14 10:24:23.899887,2022-01-14 10:24:30.674191,0 days 00:00:06.774304,1.3127740457935584,669794.0208991321,,COMPLETE
45,45,,2022-01-14 10:24:30.808613,2022-01-14 10:24:31.152516,0 days 00:00:00.343903,0.010643644039226907,11798664.08660596,Trial 45 failed because of the following error: AssertionError(),FAIL
46,46,172268981.47414595,2022-01-14 10:30:31.746076,2022-01-14 10:30:35.017434,0 days 00:00:03.271358,2.066291858675814,10687965.638271017,,COMPLETE
47,47,787971180.4550433,2022-01-14 10:30:35.188097,2022-01-14 10:30:53.493278,0 days 00:00:18.305181,0.1804252737651506,48887460.59139799,,COMPLETE
48,48,65582715.6201998,2022-01-14 10:30:53.652522,2022-01-14 10:31:01.471073,0 days 00:00:07.818551,6.264047224944029,4068880.7441208586,,COMPLETE
49,49,218651547.70587304,2022-01-14 10:31:01.630437,2022-01-14 10:31:07.651449,0 days 00:00:06.021012,6.043868290431669,13565591.02798794,,COMPLETE
50,50,1054119874.4358886,2022-01-14 10:31:07.835689,2022-01-14 10:31:10.609660,0 days 00:00:02.773971,18.943966615484705,65399528.14610294,,COMPLETE
51,51,321264741.0200313,2022-01-14 10:31:10.762474,2022-01-14 10:31:16.117913,0 days 00:00:05.355439,5.062272582784435,19931939.69269116,,COMPLETE
52,52,4750219.398636138,2022-01-14 10:31:16.327491,2022-01-14 10:31:19.537682,0 days 00:00:03.210191,9.557505339416881,294652.1159516523,,COMPLETE
53,53,68258295.04725805,2022-01-14 10:31:19.707966,2022-01-14 10:31:23.890836,0 days 00:00:04.182870,10.173539690312024,4234813.202302186,,COMPLETE
54,54,933458.5283758966,2022-01-14 10:31:24.040752,2022-01-14 10:31:26.733143,0 days 00:00:02.692391,19.099968052447103,57659.79065075479,,COMPLETE
55,55,139993720.84633386,2022-01-14 10:31:26.894447,2022-01-14 10:31:29.685204,0 days 00:00:02.790757,18.996324728724385,8685249.107869318,,COMPLETE
56,56,2620280.6378361075,2022-01-14 10:31:29.810113,2022-01-14 10:31:34.595611,0 days 00:00:04.785498,9.955641616138832,162499.00619781317,,COMPLETE
57,57,72639097.83258165,2022-01-14 10:31:34.739336,2022-01-14 10:31:38.234799,0 days 00:00:03.495463,10.062710218089604,4506609.3400255935,,COMPLETE
58,58,10768310.081698302,2022-01-14 10:31:38.369785,2022-01-14 10:31:39.888197,0 days 00:00:01.518412,28.9450199008667,667589.1840024935,,COMPLETE
59,59,148269483.55689204,2022-01-14 10:31:40.048963,2022-01-14 10:31:42.782200,0 days 00:00:02.733237,15.997555268594791,9198767.125511754,,COMPLETE
60,60,415803690.2455844,2022-01-14 10:31:42.939645,2022-01-14 10:31:44.132519,0 days 00:00:01.192874,19.62687851837651,25797058.390715845,,COMPLETE
61,61,253355634.9712726,2022-01-14 10:31:44.265568,2022-01-14 10:31:49.071223,0 days 00:00:04.805655,5.215505238557738,15718716.174889704,,COMPLETE
62,62,1777991.9488290148,2022-01-14 10:31:49.265635,2022-01-14 10:31:52.217682,0 days 00:00:02.952047,22.415375697638904,109976.57390821693,,COMPLETE
63,63,8179585.825838794,2022-01-14 10:31:52.345705,2022-01-14 10:31:55.543500,0 days 00:00:03.197795,13.344474258588697,507362.4370329975,,COMPLETE
64,64,58085796.1736204,2022-01-14 10:31:55.669659,2022-01-14 10:31:58.265636,0 days 00:00:02.595977,23.118244058879934,3603411.673978316,,COMPLETE
